"","Price"
"2020-07-07",310500
"2020-07-08",328000
"2020-07-09",355500
"2020-07-10",355500
"2020-07-13",352000
"2020-07-14",343000
"2020-07-15",337500
"2020-07-16",322000
"2020-07-17",325000
"2020-07-20",310000
"2020-07-21",316000
"2020-07-22",318000
"2020-07-23",329500
"2020-07-24",324500
"2020-07-27",326500
"2020-07-28",329500
"2020-07-29",331500
"2020-07-30",332000
"2020-07-31",343500
"2020-08-03",366000
"2020-08-04",370000
"2020-08-05",370500
"2020-08-06",364000
"2020-08-07",353000
"2020-08-10",356000
"2020-08-11",352500
"2020-08-12",354000
"2020-08-13",360500
"2020-08-14",362500
"2020-08-18",378000
"2020-08-19",376500
"2020-08-20",364500
"2020-08-21",370000
"2020-08-24",380000
"2020-08-25",381000
"2020-08-26",392000
"2020-08-27",410500
"2020-08-28",405500
"2020-08-31",407000
"2020-09-01",401500
"2020-09-02",412000
"2020-09-03",410000
"2020-09-04",402000
"2020-09-07",392000
"2020-09-08",390000
"2020-09-09",384000
"2020-09-10",385500
"2020-09-11",379000
"2020-09-14",373500
"2020-09-15",381000
"2020-09-16",377000
"2020-09-17",371000
"2020-09-18",373000
"2020-09-21",364500
"2020-09-22",353000
"2020-09-23",365500
"2020-09-24",352000
"2020-09-25",351500
"2020-09-28",369000
"2020-09-29",364500
"2020-10-05",370500
"2020-10-06",381500
"2020-10-07",380500
"2020-10-08",379000
"2020-10-12",371500
"2020-10-13",372000
"2020-10-14",368500
"2020-10-15",362000
"2020-10-16",357500
"2020-10-19",353000
"2020-10-20",352500
"2020-10-21",353500
"2020-10-22",349000
"2020-10-23",340000
"2020-10-26",329500
"2020-10-27",334000
"2020-10-28",346500
"2020-10-29",343000
"2020-10-30",330000
"2020-11-02",334500
"2020-11-03",336500
"2020-11-04",359500
"2020-11-05",363000
"2020-11-06",370500
"2020-11-09",371500
"2020-11-10",356000
"2020-11-11",355500
"2020-11-12",357500
"2020-11-13",365500
"2020-11-16",362000
"2020-11-17",362000
"2020-11-18",365500
"2020-11-19",365500
"2020-11-20",365500
"2020-11-23",367000
"2020-11-24",373000
"2020-11-25",367000
"2020-11-26",374000
"2020-11-27",373000
"2020-11-30",368000
"2020-12-01",374500
"2020-12-02",373000
"2020-12-03",374000
"2020-12-04",389500
"2020-12-07",385000
"2020-12-08",374500
"2020-12-09",375000
"2020-12-10",370500
"2020-12-11",374500
"2020-12-14",373500
"2020-12-15",371000
"2020-12-16",372000
"2020-12-17",369000
"2020-12-18",367000
"2020-12-21",379500
"2020-12-22",376000
"2020-12-23",377500
"2020-12-24",374000
"2020-12-28",373000
"2020-12-29",384500
"2020-12-30",389500
"2021-01-04",396000
"2021-01-05",393000
"2021-01-06",395500
"2021-01-07",402500
"2021-01-08",434000
"2021-01-11",453000
"2021-01-12",457500
"2021-01-13",454500
"2021-01-14",451500
"2021-01-15",437500
"2021-01-18",427500
"2021-01-19",440000
"2021-01-20",444000
"2021-01-21",454000
"2021-01-22",463000
"2021-01-25",473500
"2021-01-26",461000
"2021-01-27",465000
"2021-01-28",458000
"2021-01-29",441000
"2021-02-01",441500
"2021-02-02",445500
"2021-02-03",462000
"2021-02-04",454500
"2021-02-05",455000
"2021-02-08",457000
"2021-02-09",461000
"2021-02-10",489500
"2021-02-15",502000
"2021-02-16",514000
"2021-02-17",509000
"2021-02-18",501000
"2021-02-19",504000
"2021-02-22",490500
"2021-02-23",487000
"2021-02-24",473500
"2021-02-25",484500
"2021-02-26",488000
"2021-03-02",491500
"2021-03-03",493500
"2021-03-04",482000
"2021-03-05",471000
"2021-03-08",454000
"2021-03-09",441000
