"","Price"
"2018-03-09",134000
"2018-03-12",135000
"2018-03-13",140500
"2018-03-14",137000
"2018-03-15",141500
"2018-03-16",141000
"2018-03-19",137500
"2018-03-20",139000
"2018-03-21",138000
"2018-03-22",138000
"2018-03-23",130500
"2018-03-26",131000
"2018-03-27",131500
"2018-03-28",129000
"2018-03-29",129500
"2018-03-30",132000
"2018-04-02",129000
"2018-04-03",128500
"2018-04-04",123500
"2018-04-05",124500
"2018-04-06",122500
"2018-04-09",121500
"2018-04-10",122500
"2018-04-11",121500
"2018-04-12",120000
"2018-04-13",120500
"2018-04-16",117000
"2018-04-17",118000
"2018-04-18",119500
"2018-04-19",116500
"2018-04-20",115000
"2018-04-23",111000
"2018-04-24",115000
"2018-04-25",115500
"2018-04-26",114000
"2018-04-27",113500
"2018-04-30",111000
"2018-05-02",114500
"2018-05-03",113500
"2018-05-04",112000
"2018-05-08",112000
"2018-05-09",113000
"2018-05-10",117000
"2018-05-11",117000
"2018-05-14",113000
"2018-05-15",114500
"2018-05-16",117000
"2018-05-17",116500
"2018-05-18",113500
"2018-05-21",113500
"2018-05-23",112500
"2018-05-24",113000
"2018-05-25",112000
"2018-05-28",108000
"2018-05-29",108000
"2018-05-30",104000
"2018-05-31",103500
"2018-06-01",104500
"2018-06-04",108000
"2018-06-05",111500
"2018-06-07",111500
"2018-06-08",113000
"2018-06-11",114000
"2018-06-12",114000
"2018-06-14",112000
"2018-06-15",109500
"2018-06-18",107500
"2018-06-19",106500
"2018-06-20",108000
"2018-06-21",107000
"2018-06-22",114000
"2018-06-25",114000
"2018-06-26",112000
"2018-06-27",111000
"2018-06-28",111500
"2018-06-29",114500
"2018-07-02",111500
"2018-07-03",114000
"2018-07-04",117000
"2018-07-05",116500
"2018-07-06",114500
"2018-07-09",117500
"2018-07-10",117000
"2018-07-11",116500
"2018-07-12",117500
"2018-07-13",118000
"2018-07-16",116500
"2018-07-17",114000
"2018-07-18",113000
"2018-07-19",114000
"2018-07-20",115000
"2018-07-23",115500
"2018-07-24",117000
"2018-07-25",118000
"2018-07-26",117500
"2018-07-27",119500
"2018-07-30",116500
"2018-07-31",112500
"2018-08-01",112500
"2018-08-02",111000
"2018-08-03",113000
"2018-08-06",113500
"2018-08-07",120000
"2018-08-08",119000
"2018-08-09",125500
"2018-08-10",128000
"2018-08-13",124000
"2018-08-14",127500
"2018-08-16",127500
"2018-08-17",127000
"2018-08-20",124500
"2018-08-21",124000
"2018-08-22",124500
"2018-08-23",125500
"2018-08-24",124000
"2018-08-27",128000
"2018-08-28",125500
"2018-08-29",126500
"2018-08-30",126500
"2018-08-31",125000
"2018-09-03",121500
"2018-09-04",122000
"2018-09-05",121000
"2018-09-06",120000
"2018-09-07",120000
"2018-09-10",119000
"2018-09-11",116500
"2018-09-12",120000
"2018-09-13",121000
"2018-09-14",120000
"2018-09-17",121500
"2018-09-18",120500
"2018-09-19",117000
"2018-09-20",117500
"2018-09-21",118500
"2018-09-27",120500
"2018-09-28",119000
"2018-10-01",119500
"2018-10-02",115500
"2018-10-04",112000
"2018-10-05",109000
"2018-10-08",107500
"2018-10-10",104000
"2018-10-11",98500
"2018-10-12",101000
"2018-10-15",99300
"2018-10-16",100500
"2018-10-17",100500
"2018-10-18",100500
"2018-10-19",101000
"2018-10-22",102500
"2018-10-23",100500
"2018-10-24",99200
"2018-10-25",94200
"2018-10-26",90900
"2018-10-29",87600
"2018-10-30",90500
"2018-10-31",91600
"2018-11-01",93100
"2018-11-02",98200
"2018-11-05",95500
"2018-11-06",96600
"2018-11-07",95600
"2018-11-08",1e+05
"2018-11-09",100500
"2018-11-12",101000
"2018-11-13",101500
"2018-11-14",103000
"2018-11-15",104000
"2018-11-16",102500
"2018-11-19",107000
"2018-11-20",107000
"2018-11-21",107500
"2018-11-22",106500
"2018-11-23",108000
"2018-11-26",112500
"2018-11-27",110500
"2018-11-28",112000
"2018-11-29",112000
"2018-11-30",112500
"2018-12-03",113500
"2018-12-04",113500
"2018-12-05",114500
"2018-12-06",116000
"2018-12-07",114500
"2018-12-10",111000
"2018-12-11",107000
"2018-12-12",110000
"2018-12-13",111500
"2018-12-14",110000
"2018-12-17",110500
"2018-12-18",108500
"2018-12-19",108000
"2018-12-20",103000
"2018-12-21",104500
"2018-12-24",101000
"2018-12-26",98500
"2018-12-27",101500
"2018-12-28",103000
"2019-01-02",102000
"2019-01-03",102500
"2019-01-04",103500
"2019-01-07",103000
"2019-01-08",99900
"2019-01-09",102000
"2019-01-10",101000
"2019-01-11",102000
"2019-01-14",1e+05
"2019-01-15",99900
"2019-01-16",1e+05
"2019-01-17",98500
"2019-01-18",99600
"2019-01-21",98800
"2019-01-22",102000
"2019-01-23",102500
"2019-01-24",102000
"2019-01-25",102500
"2019-01-28",102000
"2019-01-29",102000
"2019-01-30",99900
"2019-01-31",99300
"2019-02-01",99600
"2019-02-07",99000
"2019-02-08",98200
"2019-02-11",95600
"2019-02-12",96000
"2019-02-13",98100
"2019-02-14",100500
"2019-02-15",101500
"2019-02-18",102000
"2019-02-19",1e+05
"2019-02-20",99700
"2019-02-21",98900
"2019-02-22",99300
"2019-02-25",98300
"2019-02-26",103500
"2019-02-27",105000
"2019-02-28",103500
"2019-03-04",108500
"2019-03-05",106500
"2019-03-06",105500
"2019-03-07",104500
"2019-03-08",107500
"2019-03-11",106000
"2019-03-12",103500
"2019-03-13",104000
"2019-03-14",106500
"2019-03-15",107500
"2019-03-18",107500
"2019-03-19",102500
"2019-03-20",102000
"2019-03-21",102500
"2019-03-22",104000
"2019-03-25",102000
"2019-03-26",104000
"2019-03-27",102500
"2019-03-28",102500
"2019-03-29",103500
"2019-04-01",103000
"2019-04-02",103500
"2019-04-03",102500
"2019-04-04",102500
"2019-04-05",102500
"2019-04-08",102000
"2019-04-09",100500
"2019-04-10",102500
"2019-04-11",102500
"2019-04-12",102500
"2019-04-15",110500
"2019-04-16",117500
"2019-04-17",117500
"2019-04-18",116500
"2019-04-19",117000
"2019-04-22",118000
"2019-04-23",116500
"2019-04-24",118000
"2019-04-25",116000
"2019-04-26",115000
"2019-04-29",119500
"2019-04-30",120000
"2019-05-02",123000
"2019-05-03",128000
"2019-05-07",127500
"2019-05-08",128500
"2019-05-09",126500
"2019-05-10",130000
"2019-05-13",128500
"2019-05-14",134000
"2019-05-15",132000
"2019-05-16",133500
"2019-05-17",124500
"2019-05-20",126500
"2019-05-21",125000
"2019-05-22",125500
"2019-05-23",124000
"2019-05-24",124000
"2019-05-27",122000
"2019-05-28",123000
"2019-05-29",121500
"2019-05-30",124500
"2019-05-31",124500
"2019-06-03",122500
"2019-06-04",119500
"2019-06-05",120500
"2019-06-07",120000
"2019-06-10",124000
"2019-06-11",124500
"2019-06-12",124000
"2019-06-13",126500
"2019-06-14",125000
"2019-06-17",121500
"2019-06-18",121000
"2019-06-19",122000
"2019-06-20",122000
"2019-06-21",126500
"2019-06-24",126000
"2019-06-25",130500
"2019-06-26",129500
"2019-06-27",131500
"2019-06-28",131500
"2019-07-01",129500
"2019-07-02",131500
"2019-07-03",131000
"2019-07-04",132500
"2019-07-05",133500
"2019-07-08",128000
"2019-07-09",131000
"2019-07-10",131000
"2019-07-11",130500
"2019-07-12",131500
"2019-07-15",133000
"2019-07-16",133000
"2019-07-17",131000
"2019-07-18",131500
"2019-07-19",135000
"2019-07-22",134000
"2019-07-23",136000
"2019-07-24",136000
"2019-07-25",131000
"2019-07-26",131000
"2019-07-29",129000
"2019-07-30",126000
"2019-07-31",127000
"2019-08-01",126500
"2019-08-02",128500
"2019-08-05",122500
"2019-08-06",122000
"2019-08-07",123500
"2019-08-08",127000
"2019-08-09",132000
"2019-08-12",130000
"2019-08-13",131500
"2019-08-14",130500
"2019-08-16",129500
"2019-08-19",130500
"2019-08-20",132000
"2019-08-21",131500
"2019-08-22",133000
"2019-08-23",133000
"2019-08-26",132500
"2019-08-27",134000
"2019-08-28",133500
"2019-08-29",133000
"2019-08-30",134500
"2019-09-02",137000
"2019-09-03",137500
"2019-09-04",138500
"2019-09-05",135000
"2019-09-06",136000
"2019-09-09",133000
"2019-09-10",135500
"2019-09-11",133000
"2019-09-16",132000
"2019-09-17",132000
"2019-09-18",137000
"2019-09-19",135500
"2019-09-20",135500
"2019-09-23",134500
"2019-09-24",138000
"2019-09-25",136000
"2019-09-26",136500
"2019-09-27",135500
"2019-09-30",135500
"2019-10-01",137500
"2019-10-02",135500
"2019-10-04",133500
"2019-10-07",134500
"2019-10-08",134500
"2019-10-10",136500
"2019-10-11",135000
"2019-10-14",134500
"2019-10-15",134000
"2019-10-16",132000
"2019-10-17",130500
"2019-10-18",132500
"2019-10-21",133500
"2019-10-22",136000
"2019-10-23",140000
"2019-10-24",139500
"2019-10-25",140000
"2019-10-28",140000
"2019-10-29",139500
"2019-10-30",138000
"2019-10-31",141500
"2019-11-01",145500
"2019-11-04",146500
"2019-11-05",148500
"2019-11-06",151000
"2019-11-07",151000
"2019-11-08",152000
"2019-11-11",154000
"2019-11-12",153500
"2019-11-13",153500
"2019-11-14",154500
"2019-11-15",155500
"2019-11-18",157500
"2019-11-19",156500
"2019-11-20",156500
"2019-11-21",154000
"2019-11-22",153000
"2019-11-25",156500
"2019-11-26",157500
"2019-11-27",157500
"2019-11-28",157000
"2019-11-29",155500
"2019-12-02",156500
"2019-12-03",157000
"2019-12-04",156000
"2019-12-05",149500
"2019-12-06",153500
"2019-12-09",151500
"2019-12-10",149500
"2019-12-11",150000
"2019-12-12",149500
"2019-12-13",151000
"2019-12-16",151500
"2019-12-17",150500
"2019-12-18",151000
"2019-12-19",150000
"2019-12-20",150000
"2019-12-23",148500
"2019-12-24",146500
"2019-12-26",148000
"2019-12-27",153500
"2019-12-30",153500
"2020-01-02",152500
"2020-01-03",152500
"2020-01-06",154500
"2020-01-07",160000
"2020-01-08",159500
"2020-01-09",164000
"2020-01-10",165000
"2020-01-13",167000
"2020-01-14",167000
"2020-01-15",170000
"2020-01-16",171500
"2020-01-17",168500
"2020-01-20",168500
"2020-01-21",165000
"2020-01-22",166000
"2020-01-23",165500
"2020-01-28",162500
"2020-01-29",163500
"2020-01-30",162000
"2020-01-31",159000
"2020-02-03",159500
"2020-02-04",164500
"2020-02-05",163000
"2020-02-06",166000
"2020-02-07",167500
"2020-02-10",169000
"2020-02-11",170000
"2020-02-12",172000
"2020-02-13",179000
"2020-02-14",180000
"2020-02-17",180500
"2020-02-18",182000
"2020-02-19",190000
"2020-02-20",190500
"2020-02-21",189500
"2020-02-24",183500
"2020-02-25",185500
"2020-02-26",184000
"2020-02-27",178500
"2020-02-28",172000
"2020-03-02",175000
"2020-03-03",175000
"2020-03-04",179500
"2020-03-05",179500
"2020-03-06",175500
"2020-03-09",167500
"2020-03-10",173000
"2020-03-11",169000
"2020-03-12",161000
"2020-03-13",159000
"2020-03-16",147500
"2020-03-17",147500
"2020-03-18",141000
"2020-03-19",134000
"2020-03-20",149500
"2020-03-23",143500
"2020-03-24",154500
"2020-03-25",154500
"2020-03-26",150500
"2020-03-27",152500
"2020-03-30",153000
"2020-03-31",155500
"2020-04-01",150500
"2020-04-02",157000
"2020-04-03",157500
"2020-04-06",160500
"2020-04-07",160000
"2020-04-08",158000
"2020-04-09",158000
"2020-04-10",161000
"2020-04-13",157500
"2020-04-14",159500
"2020-04-16",165500
"2020-04-17",172000
"2020-04-20",175000
"2020-04-21",175500
"2020-04-22",177000
"2020-04-23",185500
"2020-04-24",183000
"2020-04-27",184000
"2020-04-28",185000
"2020-04-29",184000
"2020-05-04",186500
"2020-05-06",199500
"2020-05-07",206000
"2020-05-08",206000
"2020-05-11",207500
"2020-05-12",214500
"2020-05-13",216500
"2020-05-14",225000
"2020-05-15",221500
"2020-05-18",221000
"2020-05-19",220000
"2020-05-20",231500
"2020-05-21",237500
"2020-05-22",247000
"2020-05-25",268000
"2020-05-26",270000
"2020-05-27",260500
"2020-05-28",267000
"2020-05-29",263500
"2020-06-01",264000
"2020-06-02",259500
"2020-06-03",249500
"2020-06-04",254000
"2020-06-05",251000
"2020-06-08",256500
"2020-06-09",254500
"2020-06-10",262000
"2020-06-11",265000
"2020-06-12",266000
"2020-06-15",252500
"2020-06-16",263000
"2020-06-17",263000
"2020-06-18",263500
"2020-06-19",263500
"2020-06-22",274000
"2020-06-23",281500
"2020-06-24",282500
"2020-06-25",274500
"2020-06-26",274500
"2020-06-29",267500
"2020-06-30",267500
"2020-07-01",269500
"2020-07-02",285500
"2020-07-03",294000
"2020-07-06",300500
