"","Price"
"2019-05-17",183372
"2019-05-20",176336
"2019-05-21",169771
"2019-05-22",173054
"2019-05-23",169302
"2019-05-24",169771
"2019-05-27",163205
"2019-05-28",174461
"2019-05-29",173991
"2019-05-30",174461
"2019-05-31",178213
"2019-06-03",181026
"2019-06-04",183372
"2019-06-05",183840
"2019-06-07",184309
"2019-06-10",186185
"2019-06-11",189468
"2019-06-12",191344
"2019-06-13",194158
"2019-06-14",188530
"2019-06-17",192282
"2019-06-18",195096
"2019-06-19",198379
"2019-06-20",200724
"2019-06-21",199316
"2019-06-24",195565
"2019-06-25",195096
"2019-06-26",197441
"2019-06-27",191344
"2019-06-28",192751
"2019-07-01",195096
"2019-07-02",192282
"2019-07-03",193220
"2019-07-04",190875
"2019-07-05",195096
"2019-07-08",193220
"2019-07-09",180557
"2019-07-10",177274
"2019-07-11",179619
"2019-07-12",176806
"2019-07-15",172116
"2019-07-16",176806
"2019-07-17",173054
"2019-07-18",169302
"2019-07-19",173054
"2019-07-22",173054
"2019-07-23",170709
"2019-07-24",168833
"2019-07-25",166957
"2019-07-26",173523
"2019-07-29",167895
"2019-07-30",166019
"2019-07-31",159922
"2019-08-01",159922
"2019-08-02",153356
"2019-08-05",136474
"2019-08-06",137412
"2019-08-07",139287
"2019-08-08",144446
"2019-08-09",145853
"2019-08-12",145383
"2019-08-13",143508
"2019-08-14",143977
"2019-08-16",144446
"2019-08-19",143508
"2019-08-20",145383
"2019-08-21",146791
"2019-08-22",143039
"2019-08-23",142101
"2019-08-26",132721
"2019-08-27",136004
"2019-08-28",146322
"2019-08-29",147260
"2019-08-30",147260
"2019-09-02",146791
"2019-09-03",150543
"2019-09-04",157109
"2019-09-05",153826
"2019-09-06",155233
"2019-09-09",155701
"2019-09-10",154764
"2019-09-11",158516
"2019-09-16",159922
"2019-09-17",160392
"2019-09-18",162737
"2019-09-19",158046
"2019-09-20",164612
"2019-09-23",160392
"2019-09-24",158046
"2019-09-25",156171
"2019-09-26",156639
"2019-09-27",155701
"2019-09-30",153826
"2019-10-01",162737
"2019-10-02",161799
"2019-10-04",162267
"2019-10-07",167426
"2019-10-08",169302
"2019-10-10",169771
"2019-10-11",170240
"2019-10-14",171178
"2019-10-15",172116
"2019-10-16",175399
"2019-10-17",176336
"2019-10-18",170240
"2019-10-21",170709
"2019-10-22",179619
"2019-10-23",184309
"2019-10-24",184779
"2019-10-25",184779
"2019-10-28",188530
"2019-10-29",192751
"2019-10-30",191344
"2019-10-31",187592
"2019-11-01",186654
"2019-11-04",186185
"2019-11-05",185247
"2019-11-06",184309
"2019-11-07",179151
"2019-11-08",176336
"2019-11-11",174461
"2019-11-12",173991
"2019-11-13",169771
"2019-11-14",174930
"2019-11-15",174461
"2019-11-18",174930
"2019-11-19",172116
"2019-11-20",173054
"2019-11-21",166019
"2019-11-22",164143
"2019-11-25",169771
"2019-11-26",168833
"2019-11-27",172585
"2019-11-28",167426
"2019-11-29",163205
"2019-12-02",164612
"2019-12-03",163674
"2019-12-04",160392
"2019-12-05",158046
"2019-12-06",159454
"2019-12-09",157577
"2019-12-10",156171
"2019-12-11",154294
"2019-12-12",160392
"2019-12-13",161329
"2019-12-16",159454
"2019-12-17",167895
"2019-12-18",166488
"2019-12-19",169302
"2019-12-20",170709
"2019-12-23",174930
"2019-12-24",173523
"2019-12-26",177744
"2019-12-27",180690
"2019-12-30",177744
"2020-01-02",176762
"2020-01-03",174307
"2020-01-06",169888
"2020-01-07",174798
"2020-01-08",169888
"2020-01-09",173816
"2020-01-10",174307
"2020-01-13",176271
"2020-01-14",174798
"2020-01-15",173325
"2020-01-16",177253
"2020-01-17",171852
"2020-01-20",169397
"2020-01-21",169397
"2020-01-22",173325
"2020-01-23",172343
"2020-01-28",167433
"2020-01-29",167924
"2020-01-30",163996
"2020-01-31",162031
"2020-02-03",163505
"2020-02-04",164487
"2020-02-05",161540
"2020-02-06",169397
"2020-02-07",168415
"2020-02-10",169888
"2020-02-11",170379
"2020-02-12",170870
"2020-02-13",175289
"2020-02-14",177744
"2020-02-17",182654
"2020-02-18",181181
"2020-02-19",178235
"2020-02-20",175780
"2020-02-21",173816
"2020-02-24",165960
"2020-02-25",169397
"2020-02-26",169888
"2020-02-27",167433
"2020-02-28",166942
"2020-03-02",171852
"2020-03-03",169397
"2020-03-04",171361
"2020-03-05",178726
"2020-03-06",174307
"2020-03-09",170870
"2020-03-10",177744
"2020-03-11",171852
"2020-03-12",169397
"2020-03-13",167433
"2020-03-16",162522
"2020-03-17",164978
"2020-03-18",154175
"2020-03-19",137481
"2020-03-20",149756
"2020-03-23",171852
"2020-03-24",180690
"2020-03-25",179708
"2020-03-26",178235
"2020-03-27",180690
"2020-03-30",181672
"2020-03-31",224880
"2020-04-01",194438
"2020-04-02",191492
"2020-04-03",192474
"2020-04-06",205240
"2020-04-07",206222
"2020-04-08",203276
"2020-04-09",206713
"2020-04-10",205731
"2020-04-13",211623
"2020-04-14",212114
"2020-04-16",211132
"2020-04-17",207204
"2020-04-20",208186
"2020-04-21",208186
"2020-04-22",210150
"2020-04-23",210150
"2020-04-24",207695
"2020-04-27",208677
"2020-04-28",205240
"2020-04-29",206713
"2020-05-04",199839
"2020-05-06",203276
"2020-05-07",200330
"2020-05-08",206713
"2020-05-11",206713
"2020-05-12",207204
"2020-05-13",211132
"2020-05-14",213096
"2020-05-15",213587
"2020-05-18",209168
"2020-05-19",209168
"2020-05-20",214569
"2020-05-21",214569
"2020-05-22",212114
"2020-05-25",211132
"2020-05-26",210641
"2020-05-27",209168
"2020-05-28",207204
"2020-05-29",209659
"2020-06-01",223407
"2020-06-02",220461
"2020-06-03",223407
"2020-06-04",242556
"2020-06-05",251885
"2020-06-08",251394
"2020-06-09",258759
"2020-06-10",263669
"2020-06-11",282819
"2020-06-12",292148
"2020-06-15",269070
"2020-06-16",288220
"2020-06-17",284292
"2020-06-18",282328
"2020-06-19",286256
"2020-06-22",291657
"2020-06-23",312770
"2020-06-24",313261
"2020-06-25",310315
"2020-06-26",306878
"2020-06-29",305405
"2020-06-30",300495
"2020-07-01",292148
"2020-07-02",302950
"2020-07-03",303932
"2020-07-06",300004
"2020-07-07",302950
"2020-07-08",305896
"2020-07-09",318171
"2020-07-10",318662
"2020-07-13",323081
"2020-07-14",318171
"2020-07-15",310315
"2020-07-16",309333
"2020-07-17",322099
"2020-07-20",317189
"2020-07-21",315716
"2020-07-22",315716
"2020-07-23",316207
"2020-07-24",313261
"2020-07-27",311297
"2020-07-28",311788
"2020-07-29",296076
"2020-07-30",294603
"2020-07-31",291166
"2020-08-03",293621
"2020-08-04",296567
"2020-08-05",309333
"2020-08-06",305405
"2020-08-07",308842
"2020-08-10",309333
"2020-08-11",308351
"2020-08-12",296567
"2020-08-13",302950
"2020-08-14",299022
"2020-08-18",298531
"2020-08-19",298531
"2020-08-20",299513
"2020-08-21",295585
"2020-08-24",304423
"2020-08-25",300986
"2020-08-26",304914
"2020-08-27",299022
"2020-08-28",299022
"2020-08-31",291657
"2020-09-01",292639
"2020-09-02",295094
"2020-09-03",294112
"2020-09-04",288711
"2020-09-07",299513
"2020-09-08",312279
"2020-09-09",293130
"2020-09-10",293130
"2020-09-11",293130
"2020-09-14",290675
"2020-09-15",290675
"2020-09-16",291657
"2020-09-17",286256
"2020-09-18",286256
"2020-09-21",273490
"2020-09-22",263178
"2020-09-23",261214
"2020-09-24",245502
"2020-09-25",253849
"2020-09-28",250412
"2020-09-29",252867
"2020-10-05",249921
"2020-10-06",253358
"2020-10-07",255813
"2020-10-08",257286
"2020-10-12",268579
"2020-10-13",265633
"2020-10-14",257286
"2020-10-15",250412
"2020-10-16",251885
"2020-10-19",250903
"2020-10-20",241083
"2020-10-21",239610
"2020-10-22",233227
"2020-10-23",233718
"2020-10-26",233718
"2020-10-27",234700
"2020-10-28",238137
"2020-10-29",248448
"2020-10-30",236664
"2020-11-02",240101
"2020-11-03",254340
"2020-11-04",265633
"2020-11-05",267106
"2020-11-06",272508
"2020-11-09",279873
"2020-11-10",271526
"2020-11-11",291166
"2020-11-12",286747
"2020-11-13",284783
"2020-11-16",283310
"2020-11-17",280855
"2020-11-18",285765
"2020-11-19",288711
"2020-11-20",291166
"2020-11-23",295585
"2020-11-24",296076
"2020-11-25",324063
"2020-11-26",323572
"2020-11-27",327991
"2020-11-30",333883
"2020-12-01",337811
"2020-12-02",340757
"2020-12-03",344685
"2020-12-04",373163
"2020-12-07",396241
"2020-12-08",343703
"2020-12-09",347140
"2020-12-10",353523
"2020-12-11",354505
"2020-12-14",351068
"2020-12-15",353523
"2020-12-16",347140
"2020-12-17",345176
"2020-12-18",349595
"2020-12-21",360397
"2020-12-22",352541
"2020-12-23",348613
"2020-12-24",341248
"2020-12-28",327500
"2020-12-29",360500
"2020-12-30",359000
"2021-01-04",347500
"2021-01-05",354500
"2021-01-06",353500
"2021-01-07",357500
"2021-01-08",367000
"2021-01-11",374000
"2021-01-12",384000
"2021-01-13",381500
"2021-01-14",352500
"2021-01-15",329000
"2021-01-18",314000
"2021-01-19",312500
"2021-01-20",311000
"2021-01-21",312000
"2021-01-22",310000
"2021-01-25",321000
"2021-01-26",322500
"2021-01-27",329000
"2021-01-28",334500
"2021-01-29",324000
"2021-02-01",371000
"2021-02-02",355500
"2021-02-03",347500
"2021-02-04",341500
"2021-02-05",341500
"2021-02-08",336000
"2021-02-09",328000
"2021-02-10",332000
"2021-02-15",333000
"2021-02-16",325000
"2021-02-17",321500
"2021-02-18",314500
"2021-02-19",318500
"2021-02-22",309500
"2021-02-23",296000
"2021-02-24",282000
"2021-02-25",308000
"2021-02-26",297500
"2021-03-02",291500
"2021-03-03",303000
"2021-03-04",306500
"2021-03-05",301500
"2021-03-08",291000
"2021-03-09",287500
