"","code","name","stock"
"2015","00260985","한빛네트","036720"
"2027","00264529","엔플렉스","040130"
"2028","00358545","동서정보기술","055000"
"2791","00231567","애드모바일","032600"
"3900","00247939","씨모스","037600"
"3903","00359614","리더컴","056140"
"3973","00153551","허메스홀딩스","012400"
"4006","00344746","유티엑스","045880"
"4083","00261188","글로포스트","037830"
"4084","00268020","쏠라엔텍","030390"
"4085","00269287","보홍","041320"
"4129","00475286","동북아1호선박투자회사","078420"
"4136","00250775","에듀아크","046350"
"4155","00114321","데코","013650"
"4235","00191108","엘앤씨피","015390"
"4252","00167378","희훈디앤지","019640"
"4259","00225210","퓨쳐인포넷","058690"
"4264","00223346","쓰리디넷","035400"
"4266","00174129","제일저축은행","024100"
"4267","00114826","제일창업투자","026540"
"4290","00173333","현대DSF","016510"
"4292","00687599","네프로아이티","950030"
"4353","00256292","자강","036790"
"4364","00271431","케이엠에스","038830"
"4392","00154727","에버리소스","020070"
"4393","00246189","제이에스","037110"
"4435","00154204","태창기업","007490"
"4442","00152631","에이치비이에너지","017300"
"4444","00107923","남한제지","001950"
"4452","00358095","코어비트","056850"
"4470","00510215","동북아8호선박투자회사","082110"
"4531","00347619","한국통신데이타","045760"
"4541","00372013","케너텍","062730"
"4549","00353735","다휘","055250"
"4579","00186540","코오롱아이넷","022520"
"4649","00128759","캠브리지코오롱","004620"
"4665","00535588","네오세미테크","089240"
"4674","00264981","디에이치패션","045260"
"4706","00231521","핸디소프트","032380"
"4709","00159908","케이엠에이치","009690"
"4756","00259493","씨엘엘씨디","035710"
"4763","00359641","현대푸드시스템","114410"
"4792","00103325","고제","002540"
"4793","00161639","메리츠종합금융","012420"
"4810","00211271","제넥셀세인","034660"
"4811","00388272","쓰리디월드","065340"
"4847","00264796","스톰이앤에프","043680"
"4873","00134909","소예","035010"
"4927","00236368","엠엔에프씨","048640"
"4935","00684547","하이트맥주","103150"
"4965","00251385","보광티에스","066690"
"4966","00262682","아인스엠앤엠","040740"
"5127","00234555","씨엔씨엔터프라이즈","038420"
"5141","00507257","아이알디","084810"
"5170","00417963","바이나믹","067850"
"5277","00543523","코크렙제7호위탁관리부동산투자회사","086720"
"5278","00300566","엔빅스","054170"
"5374","00299376","선팩테크","054010"
"5418","00112068","마이크로닉스","001190"
"5437","00257194","블루스톤디앤아이","033720"
"5477","00477372","신지소프트","078700"
"5548","00465410","맥쿼리센트럴오피스기업구조조정부동산투자회사","076850"
