"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2170","023350","한국종합기술",7000,-30,-0.43,NA,NA,8724,0.8,100,1.43
"2171","025890","한국주강",1800,55,3.15,NA,NA,2848,0.63,0,0
"2172","000970","한국주철관",8660,10,0.12,585,14.8,11819,0.73,200,2.31
"2173","104700","한국철강",8710,220,2.59,415,20.99,15742,0.55,200,2.3
"2174","017960","한국카본",11750,400,3.52,431,27.26,7114,1.65,120,1.02
"2175","023760","한국캐피탈",699,49,7.54,118,5.92,897,0.78,25,3.58
"2176","054040","한국컴퓨터",4085,-10,-0.24,496,8.24,5849,0.7,130,3.18
"2177","050540","한국코퍼레이션",282,0,0,NA,NA,974,0.29,0,0
"2178","161890","한국콜마",57600,200,0.35,1284,44.86,20601,2.8,330,0.57
"2179","024720","한국콜마홀딩스",27000,0,0,2364,11.42,22998,1.17,195,0.72
"2180","021650","한국큐빅",4265,-10,-0.23,206,20.7,3499,1.22,25,0.59
"2181","161390","한국타이어앤테크놀로지",45050,-450,-0.99,3387,13.3,57774,0.78,550,1.22
"2182","053590","한국테크놀로지",1175,-90,-7.11,NA,NA,343,3.43,0,0
"2183","034830","한국토지신탁",2035,20,0.99,449,4.53,3476,0.59,110,5.41
"2184","007280","한국특수형강",1845,10,0.54,NA,NA,2085,0.88,0,0
"2185","032300","한국파마",45750,1800,4.1,629,72.73,3028,15.11,50,0.11
"2186","037230","한국팩키지",4565,95,2.13,72,63.4,1591,2.87,35,0.77
"2187","010100","한국프랜지",2795,0,0,373,7.49,7092,0.39,50,1.79
"2188","047810","한국항공우주",35850,850,2.43,1748,20.51,11714,3.06,400,1.12
"2189","123690","한국화장품",12200,0,0,NA,NA,2190,5.57,0,0
"2190","003350","한국화장품제조",35800,-50,-0.14,NA,NA,10597,3.38,100,0.28
"2191","030520","한글과컴퓨터",17000,150,0.89,864,19.68,9633,1.76,0,0
"2192","052600","한네트",11300,-600,-5.04,98,115.31,3033,3.73,100,0.88
"2193","011500","한농화성",17350,1200,7.43,652,26.61,7692,2.26,150,0.86
"2194","002390","한독",27700,550,2.03,2544,10.89,24757,1.12,275,0.99
"2195","256150","한독크린텍",31900,2350,7.95,1601,19.93,7753,4.11,200,0.63
"2196","014790","한라",5060,160,3.27,28,180.71,5322,0.95,0,0
"2197","092460","한라IMS",7090,-10,-0.14,392,18.09,6891,1.03,100,1.41
"2198","060980","한라홀딩스",39700,-300,-0.75,3921,10.12,84613,0.47,2000,5.04
"2199","053690","한미글로벌",10100,130,1.3,2222,4.55,10777,0.94,200,1.98
"2200","042700","한미반도체",23700,1000,4.41,383,61.88,3839,6.17,100,0.42
"2201","008930","한미사이언스",59300,-300,-0.5,467,126.98,9607,6.17,200,0.34
"2202","128940","한미약품",322500,3500,1.1,4352,74.1,60099,5.37,500,0.16
"2203","047080","한빛소프트",6060,190,3.24,97,62.47,602,10.07,0,0
"2204","009240","한샘",101000,-500,-0.49,2423,41.68,25215,4.01,1200,1.19
"2205","020000","한섬",37150,-150,-0.4,3881,9.57,42450,0.88,450,1.21
"2206","003680","한성기업",7970,120,1.53,NA,NA,8081,0.99,0,0
"2207","105630","한세실업",20150,-350,-1.71,NA,NA,9945,2.03,500,2.48
"2208","069640","한세엠케이",3575,55,1.56,NA,NA,7793,0.46,0,0
"2209","016450","한세예스24홀딩스",7940,340,4.47,513,15.48,6786,1.17,250,3.15
"2210","010420","한솔PNS",2000,0,0,154,12.99,2004,1,25,1.25
"2211","009180","한솔로지스틱스",3305,-5,-0.15,215,15.37,1713,1.93,40,1.21
"2212","070590","한솔인티큐브",3480,50,1.46,NA,NA,1705,2.04,0,0
"2213","213500","한솔제지",13400,100,0.75,1683,7.96,24810,0.54,600,4.48
"2214","014680","한솔케미칼",224500,-3500,-1.54,7798,28.79,39713,5.65,1500,0.67
"2215","004710","한솔테크닉스",10100,100,1,245,41.22,8145,1.24,0,0
"2216","004150","한솔홀딩스",3645,0,0,602,6.05,9195,0.4,0,0
"2217","025750","한솔홈데코",1925,5,0.26,NA,NA,1914,1.01,0,0
"2218","226440","한송네오텍",1530,-15,-0.97,9,170,480,3.19,0,0
"2219","042520","한스바이오메드",11600,0,0,1012,11.46,7562,1.53,120,1.03
"2220","004960","한신공영",18400,400,2.22,6212,2.96,43693,0.42,350,1.9
"2221","011700","한신기계",1800,10,0.56,51,35.29,2496,0.72,15,0.83
"2222","078350","한양디지텍",5020,25,0.5,NA,NA,2890,1.74,0,0
"2223","045100","한양이엔지",16050,-150,-0.93,1695,9.47,18191,0.88,450,2.8
"2224","001750","한양증권",10450,100,0.97,1726,6.05,22236,0.47,350,3.35
"2225","001755","한양증권우",15800,100,0.64,NA,NA,NA,NA,400,2.53
"2226","018880","한온시스템",17200,-450,-2.55,597,28.81,4153,4.14,320,1.86
"2227","009420","한올바이오파마",22700,-350,-1.52,375,60.53,2688,8.44,0,0
"2228","014130","한익스프레스",6020,-10,-0.17,479,12.57,5960,1.01,70,1.16
"2229","046110","한일네트웍스",5410,30,0.56,589,9.19,5635,0.96,230,4.25
"2230","024740","한일단조",1910,0,0,107,17.85,3698,0.52,0,0
"2231","005860","한일사료",1860,5,0.27,NA,NA,1568,1.19,25,1.34
"2232","300720","한일시멘트",116500,-500,-0.43,9772,11.92,214009,0.54,4700,4.03
"2233","123840","한일진공",1070,70,7,NA,NA,1803,0.59,0,0
"2234","002220","한일철강",2290,-10,-0.43,NA,NA,6586,0.35,0,0
"2235","006390","한일현대시멘트",39000,150,0.39,2458,15.87,12164,3.21,1000,2.56
"2236","003300","한일홀딩스",10800,-50,-0.46,461,23.43,33397,0.32,460,4.26
"2237","007770","한일화학",15450,0,0,475,32.53,26611,0.58,150,0.97
"2238","051600","한전KPS",28050,0,0,3407,8.23,23632,1.19,1920,6.84
"2239","052690","한전기술",20000,-350,-1.72,694,28.82,12878,1.55,310,1.55
"2240","130660","한전산업",4600,30,0.66,530,8.68,2632,1.75,227,4.93
"2241","002320","한진",44150,450,1.03,NA,NA,72343,0.61,500,1.13
"2242","097230","한진중공업",6980,-50,-0.71,5185,1.35,2943,2.37,0,0
"2243","003480","한진중공업홀딩스",3785,-35,-0.92,1160,3.26,11298,0.34,0,0
"2244","180640","한진칼",59100,100,0.17,NA,NA,20882,2.83,255,0.43
"2245","18064K","한진칼우",39800,1500,3.92,NA,NA,NA,NA,280,0.7
"2246","005110","한창",1265,30,2.43,NA,NA,593,2.13,0,0
"2247","079170","한창산업",7530,60,0.8,227,33.17,10088,0.75,110,1.46
"2248","009460","한창제지",2355,-20,-0.84,125,18.84,1440,1.64,20,0.85
"2249","086960","한컴MDS",15000,150,1.01,987,15.2,12715,1.18,0,0
"2250","054920","한컴위드",8740,80,0.92,1905,4.59,4404,1.98,0,0
"2251","002680","한탑",1900,30,1.6,NA,NA,1573,1.21,0,0
"2252","066110","한프",480,0,0,NA,NA,NA,NA,0,0
"2253","000880","한화",29500,-200,-0.67,1051,28.07,45198,0.65,700,2.37
"2254","00088K","한화3우B",14050,0,0,NA,NA,NA,NA,750,5.34
"2255","088350","한화생명",3225,45,1.42,18,179.17,14606,0.22,30,0.93
"2256","000370","한화손해보험",4200,145,3.58,NA,NA,12154,0.35,0,0
"2257","009830","한화솔루션",44250,150,0.34,NA,NA,34147,1.3,200,0.45
"2258","009835","한화솔루션우",58000,5500,10.48,NA,NA,NA,NA,250,0.43
"2259","272210","한화시스템",19050,-100,-0.52,706,26.98,8786,2.17,310,1.63
"2260","317320","한화에스비아이스팩",2935,-5,-0.17,NA,NA,NA,NA,0,0
"2261","012450","한화에어로스페이스",41300,50,0.12,2558,16.15,48217,0.86,0,0
"2262","000885","한화우",41200,1200,3,NA,NA,NA,NA,750,1.82
"2263","003530","한화투자증권",2820,95,3.49,511,5.52,5265,0.54,0,0
"2264","003535","한화투자증권우",4320,305,7.6,NA,NA,NA,NA,0,0
"2265","340440","한화플러스제1호스팩",2060,0,0,NA,NA,NA,NA,0,0
"2266","220630","해마로푸드서비스",3510,110,3.24,148,23.72,861,4.08,50,1.42
"2267","195870","해성디에스",31650,50,0.16,1078,29.36,12267,2.58,350,1.11
"2268","034810","해성산업",11700,-100,-0.85,238,49.16,14265,0.82,175,1.5
"2269","076610","해성옵틱스",1225,-25,-2,NA,NA,1957,0.63,0,0
"2270","101530","해태제과식품",8390,20,0.24,NA,NA,8359,1,150,1.79
"2271","220180","핸디소프트",3525,80,2.32,NA,NA,2868,1.23,0,0
"2272","143210","핸즈코퍼레이션",6810,-40,-0.58,320,21.28,14807,0.46,130,1.91
"2273","008800","행남사",1770,0,0,NA,NA,671,2.64,0,0
"2274","084990","헬릭스미스",24100,-600,-2.43,NA,NA,6867,3.51,0,0
"2275","000720","현대건설",42750,950,2.27,3656,11.69,59778,0.72,600,1.4
"2276","267270","현대건설기계",48950,1600,3.38,169,289.64,61453,0.8,0,0
"2277","000725","현대건설우",191000,20500,12.02,NA,NA,NA,NA,650,0.34
"2278","170030","현대공업",9670,-30,-0.31,272,35.55,6642,1.46,66,0.68
"2279","005440","현대그린푸드",10600,840,8.61,628,16.88,17576,0.6,210,1.98
"2280","086280","현대글로비스",195500,-1500,-0.76,13395,14.59,124541,1.57,3500,1.79
"2281","064350","현대로템",20800,0,0,NA,NA,9695,2.15,0,0
"2282","079430","현대리바트",16700,400,2.45,968,17.25,22301,0.75,150,0.9
"2283","012330","현대모비스",302000,-1500,-0.49,24234,12.46,339207,0.89,4000,1.32
"2284","319400","현대무벡스",5230,30,0.58,NA,NA,NA,NA,0,0
"2285","010620","현대미포조선",61300,2800,4.79,1335,45.92,58022,1.06,350,0.57
"2286","048410","현대바이오",53200,1800,3.5,22,2418.18,1356,39.23,0,0
"2287","052260","현대바이오랜드",23050,-50,-0.22,723,31.88,10382,2.22,350,1.52
"2288","069960","현대백화점",87700,400,0.46,8639,10.15,181263,0.48,1000,1.14
"2289","004560","현대비앤지스틸",18950,-350,-1.81,1433,13.22,26531,0.71,100,0.53
"2290","004565","현대비앤지스틸우",93600,-2300,-2.4,NA,NA,NA,NA,150,0.16
"2291","016790","현대사료",14400,-50,-0.35,528,27.27,9667,1.49,100,0.69
"2292","011760","현대상사",18100,350,1.97,1292,14.01,25722,0.7,600,3.31
"2293","004310","현대약품",7860,-50,-0.63,42,187.14,2737,2.87,45,0.57
"2294","322000","현대에너지솔루션",34450,1150,3.45,2788,12.36,28380,1.21,0,0
"2295","017800","현대엘리베이",45150,150,0.33,1190,37.94,22966,1.97,900,1.99
"2296","307950","현대오토에버",121000,2500,2.11,2673,45.27,24259,4.99,710,0.59
"2297","011210","현대위아",81400,-900,-1.09,2078,39.17,113690,0.72,700,0.86
"2298","267260","현대일렉트릭",20550,300,1.48,NA,NA,19418,1.06,0,0
"2299","004020","현대제철",43900,1150,2.69,130,337.69,126631,0.35,750,1.71
"2300","267250","현대중공업지주",281500,3500,1.26,11848,23.76,490707,0.57,18500,6.57
"2301","005380","현대차",232000,-500,-0.22,11310,20.51,253001,0.92,4000,1.72
"2302","005387","현대차2우B",102000,500,0.49,NA,NA,NA,NA,4100,4.02
"2303","005389","현대차3우B",98200,400,0.41,NA,NA,NA,NA,4050,4.12
"2304","005385","현대차우",104500,-1000,-0.95,NA,NA,NA,NA,4050,3.88
"2305","001500","현대차증권",12500,100,0.81,2315,5.4,25525,0.49,600,4.8
"2306","227840","현대코퍼레이션홀딩스",12550,150,1.21,1183,10.61,19704,0.64,500,3.98
"2307","039010","현대통신",10750,750,7.5,1238,8.68,9454,1.14,300,2.79
"2308","126560","현대퓨처넷",4810,130,2.78,343,14.02,6569,0.73,60,1.25
"2309","001450","현대해상",23750,300,1.28,3161,7.51,50452,0.47,880,3.71
"2310","057050","현대홈쇼핑",77400,-100,-0.13,7354,10.52,144315,0.54,2000,2.58
"2311","092300","현우산업",4295,40,0.94,156,27.53,4933,0.87,100,2.33
"2312","053660","현진소재",400,0,0,NA,NA,NA,NA,0,0
"2313","011080","형지I&C",1520,15,1,NA,NA,581,2.62,0,0
"2314","093240","형지엘리트",4025,-100,-2.42,NA,NA,2007,2.01,0,0
"2315","003010","혜인",6130,100,1.66,412,14.88,8192,0.75,60,0.98
"2316","111110","호전실업",10600,-50,-0.47,346,30.64,14353,0.74,250,2.36
"2317","008770","호텔신라",87200,3400,4.06,4483,19.45,22979,3.79,350,0.4
"2318","008775","호텔신라우",85700,2000,2.39,NA,NA,NA,NA,400,0.47
"2319","060560","홈센타홀딩스",967,11,1.15,NA,NA,828,1.17,0,0
"2320","064240","홈캐스트",2895,80,2.84,NA,NA,2113,1.37,0,0
"2321","039610","화성밸브",6040,0,0,284,21.27,6985,0.86,0,0
"2322","002460","화성산업",11400,50,0.44,634,17.98,29797,0.38,500,4.39
"2323","378850","화승알앤에이",7800,500,6.85,NA,NA,NA,NA,0,0
"2324","241590","화승엔터프라이즈",15950,-650,-3.92,1031,15.47,5759,2.77,45,0.28
"2325","006060","화승인더",7880,120,1.55,1092,7.22,5972,1.32,45,0.57
"2326","013520","화승코퍼레이션",2175,-60,-2.68,376,5.78,4046,0.54,25,1.15
"2327","010690","화신",4890,-15,-0.31,202,24.21,8582,0.57,50,1.02
"2328","126640","화신정공",1815,85,4.91,99,18.33,2217,0.82,30,1.65
"2329","133820","화인베스틸",2480,-65,-2.55,NA,NA,3118,0.8,0,0
"2330","061250","화일약품",15200,-500,-3.18,235,64.68,6906,2.2,125,0.82
"2331","010660","화천기계",2565,35,1.38,NA,NA,5663,0.45,0,0
"2332","000850","화천기공",31850,50,0.16,3388,9.4,134845,0.24,1250,3.92
"2333","016580","환인제약",18250,150,0.83,1225,14.9,14719,1.24,300,1.64
"2334","032560","황금에스티",9130,40,0.44,1795,5.09,18579,0.49,100,1.1
"2335","004800","효성",85600,4600,5.68,5100,16.78,115817,0.74,5000,5.84
"2336","094280","효성ITX",19450,150,0.78,899,21.64,4162,4.67,500,2.57
"2337","097870","효성오앤비",7930,70,0.89,203,39.06,7102,1.12,100,1.26
"2338","298040","효성중공업",72300,1900,2.7,1411,51.24,97403,0.74,0,0
"2339","298050","효성첨단소재",347500,33000,10.49,NA,NA,72195,4.81,0,0
"2340","298020","효성티앤씨",514000,31000,6.42,21569,23.83,112984,4.55,2000,0.39
"2341","298000","효성화학",260000,24000,10.17,27637,9.41,142536,1.82,5000,1.92
"2342","093370","후성",10250,-50,-0.49,87,117.82,2295,4.47,15,0.15
"2343","050090","휘닉스소재",863,23,2.74,NA,NA,395,2.18,0,0
"2344","081660","휠라홀딩스",42250,-350,-0.82,4382,9.64,20448,2.07,219,0.52
"2345","290270","휴네시온",5960,-20,-0.33,187,31.87,2478,2.41,35,0.59
"2346","005870","휴니드",6450,-50,-0.77,589,10.95,8207,0.79,0,0
"2347","090710","휴림로봇",1025,-85,-7.66,NA,NA,346,2.96,0,0
"2348","205470","휴마시스",5900,120,2.08,NA,NA,541,10.91,0,0
"2349","115160","휴맥스",4490,150,3.46,850,5.28,16662,0.27,0,0
"2350","028080","휴맥스홀딩스",3780,20,0.53,534,7.08,12176,0.31,0,0
"2351","032860","휴먼엔",11150,250,2.29,NA,NA,2840,3.93,0,0
"2352","200670","휴메딕스",22700,550,2.48,1094,20.75,11243,2.02,500,2.2
"2353","079980","휴비스",7970,20,0.25,NA,NA,11407,0.7,150,1.88
"2354","065510","휴비츠",7920,50,0.64,688,11.51,7403,1.07,150,1.89
"2355","005010","휴스틸",9660,140,1.47,NA,NA,52030,0.19,300,3.11
"2356","243070","휴온스",55600,-500,-0.89,3525,15.77,17921,3.1,700,1.26
"2357","084110","휴온스글로벌",27700,100,0.36,2231,12.42,31494,0.88,400,1.44
"2358","145020","휴젤",173500,-4400,-2.47,3641,47.65,55220,3.14,0,0
"2359","069260","휴켐스",23900,-50,-0.21,1812,13.19,15970,1.5,1000,4.18
"2360","024060","흥구석유",7510,60,0.81,570,13.18,5133,1.46,150,2
"2361","010240","흥국",9100,-270,-2.88,568,16.02,5477,1.66,150,1.65
"2362","189980","흥국에프엔비",5080,595,13.27,151,33.64,1745,2.91,30,0.59
"2363","000540","흥국화재",4045,185,4.79,510,7.93,10926,0.37,0,0
"2364","000547","흥국화재2우B",21550,2100,10.8,NA,NA,NA,NA,0,0
"2365","000545","흥국화재우",9030,2080,29.93,NA,NA,NA,NA,0,0
"2366","003280","흥아해운",258,0,0,NA,NA,276,0.93,0,0
"2367","037440","희림",4295,5,0.12,288,14.91,3827,1.12,150,3.49
"2368","238490","힘스",13150,-100,-0.75,759,17.33,5382,2.44,200,1.52
