"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1978","131970","테스나",46050,250,0.55,1363,33.79,10259,4.49,200,0.43
"1979","055490","테이팩스",41550,350,0.85,1617,25.7,21349,1.95,0,0
"1980","089030","테크윙",20400,-450,-2.16,584,34.93,9076,2.25,230,1.13
"1981","054450","텔레칩스",19050,150,0.79,663,28.73,7624,2.5,120,0.63
"1982","091440","텔레필드",3835,35,0.92,572,6.7,2971,1.29,0,0
"1983","078000","텔코웨어",11350,0,0,761,14.91,11450,0.99,550,4.85
"1984","200230","텔콘RF제약",5160,130,2.58,NA,NA,1337,3.86,0,0
"1985","214420","토니모리",8180,100,1.24,NA,NA,5600,1.46,0,0
"1986","215480","토박스코리아",1405,-145,-9.35,4,351.25,555,2.53,0,0
"1987","051360","토비스",7780,80,1.04,1420,5.48,11606,0.67,240,3.08
"1988","045340","토탈소프트",18850,150,0.8,301,62.62,1313,14.36,0,0
"1989","108230","톱텍",12100,-250,-2.02,105,115.24,9079,1.33,100,0.83
"1990","079970","투비소프트",2125,-15,-0.7,NA,NA,1778,1.2,0,0
"1991","105550","트루윈",5160,-80,-1.53,NA,NA,2075,2.49,0,0
"1992","026150","특수건설",7430,110,1.5,52,142.88,5689,1.31,0,0
"1993","322180","티라유텍",15950,-250,-1.54,646,24.69,5233,3.05,0,0
"1994","117730","티로보틱스",10150,150,1.5,NA,NA,2666,3.81,0,0
"1995","033830","티비씨",1460,35,2.46,59,24.75,1107,1.32,16,1.1
"1996","057680","티사이언티픽",3330,-80,-2.35,54,61.67,890,3.74,0,0
"1997","064760","티씨케이",168600,2100,1.26,4011,42.03,18883,8.93,900,0.53
"1998","246710","티앤알바이오팹",21500,700,3.37,NA,NA,2966,7.25,0,0
"1999","340570","티앤엘",38600,0,0,2277,16.95,10385,3.72,400,1.04
"2000","277880","티에스아이",12850,-50,-0.39,NA,NA,1566,8.21,0,0
"2001","131290","티에스이",55300,400,0.73,1583,34.93,14862,3.72,200,0.36
"2002","019180","티에이치엔",3210,20,0.63,959,3.35,3503,0.92,60,1.87
"2003","356860","티엘비",42800,-200,-0.47,2272,18.84,6680,6.41,70,0.16
"2004","062860","티엘아이",12700,-600,-4.51,180,70.56,7219,1.76,100,0.79
"2005","363280","티와이홀딩스",24700,-200,-0.8,NA,NA,NA,NA,0,0
"2006","36328K","티와이홀딩스우",22000,350,1.62,NA,NA,NA,NA,0,0
"2007","321550","티움바이오",16300,150,0.93,NA,NA,3943,4.13,0,0
"2008","091810","티웨이항공",2795,40,1.45,NA,NA,2357,1.19,0,0
"2009","004870","티웨이홀딩스",1495,10,0.67,NA,NA,2103,0.71,0,0
"2010","104480","티케이케미칼",3130,-150,-4.57,110,28.45,2989,1.05,0,0
"2011","081150","티플랙스",4150,280,7.24,91,45.6,4040,1.03,20,0.48
"2012","130740","티피씨글로벌",4865,25,0.52,NA,NA,5671,0.86,20,0.41
"2013","084730","팅크웨어",16250,-250,-1.52,430,37.79,14259,1.14,0,0
"2014","046210","파나진",4885,25,0.51,109,44.82,629,7.77,0,0
"2015","034230","파라다이스",18050,100,0.56,177,101.98,13924,1.3,100,0.55
"2016","033540","파라텍",9100,-90,-0.98,NA,NA,3139,2.9,0,0
"2017","043200","파루",1550,60,4.03,13,119.23,1267,1.22,0,0
"2018","214450","파마리서치프로덕트",58400,-100,-0.17,1766,33.07,21024,2.78,300,0.51
"2019","208340","파멥신",19150,-400,-2.05,NA,NA,4904,3.9,0,0
"2020","005690","파미셀",15750,-50,-0.32,73,215.75,859,18.34,0,0
"2021","177830","파버나인",5490,100,1.86,NA,NA,4104,1.34,0,0
"2022","037070","파세코",22950,2600,12.78,618,37.14,5415,4.24,250,1.09
"2023","150900","파수",7650,-150,-1.92,NA,NA,1735,4.41,0,0
"2024","037030","파워넷",5910,20,0.34,451,13.1,4422,1.34,0,0
"2025","047310","파워로직스",9230,-60,-0.65,1611,5.73,6981,1.32,50,0.54
"2026","170790","파이오링크",13000,150,1.17,868,14.98,5640,2.3,100,0.77
"2027","049120","파인디앤씨",1570,-30,-1.88,NA,NA,1718,0.91,25,1.59
"2028","038950","파인디지털",6510,200,3.17,NA,NA,8435,0.77,50,0.77
"2029","106240","파인테크닉스",5030,0,0,8,628.75,1327,3.79,0,0
"2030","131760","파인텍",1480,-15,-1,3,493.33,1459,1.01,0,0
"2031","065690","파커스",2960,80,2.78,NA,NA,5914,0.5,150,5.07
"2032","140860","파크시스템스",122300,2800,2.34,1277,95.77,6656,18.37,120,0.1
"2033","091700","파트론",10950,150,1.39,1186,9.23,6531,1.68,350,3.2
"2034","038160","팍스넷",862,0,0,NA,NA,1132,0.76,0,0
"2035","032800","판타지오",757,39,5.43,NA,NA,323,2.34,0,0
"2036","318010","팜스빌",10050,-100,-0.99,1093,9.19,6987,1.44,200,1.99
"2037","036580","팜스코",8160,120,1.49,NA,NA,7977,1.02,50,0.61
"2038","027710","팜스토리",2090,-70,-3.24,NA,NA,1454,1.44,25,1.2
"2039","225590","패션플랫폼",1490,-30,-1.97,164,9.09,1474,1.01,0,0
"2040","054300","팬스타엔터프라이즈",845,3,0.36,16,52.81,821,1.03,0,0
"2041","068050","팬엔터테인먼트",7240,-260,-3.47,41,176.59,1756,4.12,0,0
